Date,Price,Open,High,Low,Vol.,Change %
02-04-16,30.4,30.4,30.4,30.4,,-1.71%
02-03-16,30.93,30.93,30.93,30.93,,8.60%
02-02-16,28.48,28.48,28.48,28.48,,-4.91%
02-01-16,29.95,29.95,29.95,29.95,,11.71%
01/29/2016,26.81,26.81,26.81,26.81,,0.07%
01/28/2016,26.79,26.79,26.79,26.79,,0.30%
01/27/2016,26.71,26.71,26.71,26.71,,0.41%
01/26/2016,26.6,26.6,26.6,26.6,,0.83%
01/25/2016,26.38,26.38,26.38,26.38,,-1.27%
01/22/2016,26.72,26.72,26.72,26.72,,2.69%
01/21/2016,26.02,26.02,26.02,26.02,,1.76%
01/20/2016,25.57,25.57,25.57,25.57,,-1.96%
01/19/2016,26.08,26.08,26.08,26.08,,-1.02%
01/15/2016,26.35,26.35,26.35,26.35,,-3.30%
01/14/2016,27.25,27.25,27.25,27.25,,0.85%
01/13/2016,27.02,27.02,27.02,27.02,,-1.13%
01-12-16,27.33,27.33,27.33,27.33,,-1.90%
01-11-16,27.86,27.86,27.86,27.86,,-4.46%
01-08-16,29.16,29.16,29.16,29.16,,0.55%
01-07-16,29,29,29,29,,0.03%
01-06-16,28.99,28.99,28.99,28.99,,-6.03%
01-05-16,30.85,30.85,30.85,30.85,,-3.89%
01-04-16,32.1,32.1,32.1,32.1,,-7.20%
12/31/2015,34.59,34.59,34.59,34.59,,0.06%
12/30/2015,34.57,34.57,34.57,34.57,,-0.26%
12/29/2015,34.66,34.66,34.66,34.66,,0.23%
12/28/2015,34.58,34.58,34.58,34.58,,-0.43%
12/24/2015,34.73,34.73,34.73,34.73,,0.35%
12/23/2015,34.61,34.61,34.61,34.61,,0.67%
12/22/2015,34.38,34.38,34.38,34.38,,0.17%
12/21/2015,34.32,34.32,34.32,34.32,,-0.78%
12/18/2015,34.59,34.59,34.59,34.59,,-0.17%
12/17/2015,34.65,34.65,34.65,34.65,,-0.52%
12/16/2015,34.83,34.83,34.83,34.83,,-1.42%
12/15/2015,35.33,35.33,35.33,35.33,,0.00%
12/14/2015,35.33,35.33,35.33,35.33,,-0.28%
12-11-15,35.43,35.43,35.43,35.43,,-2.18%
12-10-15,36.22,36.22,36.22,36.22,,0.03%
12-09-15,36.21,36.21,36.21,36.21,,-0.28%
12-08-15,36.31,36.31,36.31,36.31,,-1.01%
12-07-15,36.68,36.68,36.68,36.68,,-5.78%
12-04-15,38.93,38.93,38.93,38.93,,-2.26%
12-03-15,39.83,39.83,39.83,39.83,,3.24%
12-02-15,38.58,38.58,38.58,38.58,,-4.67%
12-01-15,40.47,40.47,40.47,40.47,,-2.93%
11/30/2015,41.69,41.69,41.69,41.69,,-0.02%
11/27/2015,41.7,41.7,41.7,41.7,,-0.55%
11/25/2015,41.93,41.93,41.93,41.93,,-0.02%
11/24/2015,41.94,41.94,41.94,41.94,,0.55%
11/23/2015,41.71,41.71,41.71,41.71,,-0.17%
11/20/2015,41.78,41.78,41.78,41.78,,0.31%
11/19/2015,41.65,41.65,41.65,41.65,,0.24%
11/18/2015,41.55,41.55,41.55,41.55,,0.61%
11/17/2015,41.3,41.3,41.3,41.3,,-1.01%
11/16/2015,41.72,41.72,41.72,41.72,,-0.93%
11/13/2015,42.11,42.11,42.11,42.11,,-1.03%
11-12-15,42.55,42.55,42.55,42.55,,-1.78%
11-11-15,43.32,43.32,43.32,43.32,,-2.28%
11-10-15,44.33,44.33,44.33,44.33,,0.38%
